name,nameWithOwner,createdAt,stargazers.totalCount,url,totalReleases,mediaReleaseDays
miaosha,qiurunze123/miaosha,2018-09-14T04:36:24Z,16976,https://github.com/qiurunze123/miaosha,0,0
SpringAll,wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,16896,https://github.com/wuyouzhuguli/SpringAll,0,0
halo,halo-dev/halo,2018-03-21T12:56:52Z,16839,https://github.com/halo-dev/halo,58,0.06231097838358873
Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16748,https://github.com/nostra13/Android-Universal-Image-Loader,0,0
ExoPlayer,google/ExoPlayer,2014-06-13T21:19:18Z,16432,https://github.com/google/ExoPlayer,2,0.0008667515929483009
fresco,facebook/fresco,2015-03-02T09:58:04Z,16336,https://github.com/facebook/fresco,42,0.02052846853477005
jenkins,jenkinsci/jenkins,2010-11-22T21:21:23Z,16245,https://github.com/jenkinsci/jenkins,62,0.0171915492445553
canal,alibaba/canal,2013-01-13T10:59:52Z,15893,https://github.com/alibaba/canal,20,0.007082517407739691
hutool,looly/hutool,2014-04-13T07:23:51Z,15832,https://github.com/looly/hutool,67,0.028281421965232246
spring-cloud-alibaba,alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,15818,https://github.com/alibaba/spring-cloud-alibaba,16,0.015378029504054265
xxl-job,xuxueli/xxl-job,2015-11-28T12:59:34Z,15769,https://github.com/xuxueli/xxl-job,29,0.01634013107324219
zheng,shuzheng/zheng,2016-10-04T10:07:06Z,15625,https://github.com/shuzheng/zheng,0,0
DoraemonKit,didi/DoraemonKit,2018-08-14T10:32:07Z,15620,https://github.com/didi/DoraemonKit,3,0.0038220668492069355
jeecg-boot,zhangdaiscott/jeecg-boot,2018-11-26T10:40:00Z,15561,https://github.com/zhangdaiscott/jeecg-boot,8,0.011749699330837788
bazel,bazelbuild/bazel,2014-06-12T16:00:38Z,15455,https://github.com/bazelbuild/bazel,93,0.040282628271720536
dbeaver,dbeaver/dbeaver,2015-10-21T08:26:28Z,15406,https://github.com/dbeaver/dbeaver,113,0.06232896704003686
tinker,Tencent/tinker,2016-09-06T06:57:52Z,15357,https://github.com/Tencent/tinker,33,0.0221170076340735
GSYVideoPlayer,CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,14942,https://github.com/CarGuo/GSYVideoPlayer,19,0.013344674330283997
skywalking,apache/skywalking,2015-11-07T03:30:36Z,14773,https://github.com/apache/skywalking,40,0.022269648148057423
Android-CleanArchitecture,android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,14511,https://github.com/android10/Android-CleanArchitecture,0,0
redisson,redisson/redisson,2014-01-11T14:06:25Z,14475,https://github.com/redisson/redisson,86,0.034949047557655544
nacos,alibaba/nacos,2018-06-15T06:49:27Z,14374,https://github.com/alibaba/nacos,29,0.03431667337453701
mybatis-3,mybatis/mybatis-3,2013-02-14T19:03:32Z,14347,https://github.com/mybatis/mybatis-3,33,0.01182152162992173
litemall,linlinjava/litemall,2018-03-22T16:42:30Z,14332,https://github.com/linlinjava/litemall,7,0.007529647310540491
cat,dianping/cat,2012-12-05T02:31:48Z,14320,https://github.com/dianping/cat,0,0
flink,apache/flink,2014-06-07T07:00:10Z,14284,https://github.com/apache/flink,0,0
SpringCloudLearning,forezp/SpringCloudLearning,2017-04-08T10:06:56Z,14254,https://github.com/forezp/SpringCloudLearning,0,0
java8-tutorial,winterbe/java8-tutorial,2014-03-16T17:25:43Z,13931,https://github.com/winterbe/java8-tutorial,0,0
Sentinel,alibaba/Sentinel,2018-04-04T06:37:33Z,13899,https://github.com/alibaba/Sentinel,16,0.01744670671992822
HikariCP,brettwooldridge/HikariCP,2013-10-08T05:43:03Z,13823,https://github.com/brettwooldridge/HikariCP,0,0
Signal-Android,signalapp/Signal-Android,2011-12-15T20:01:12Z,13808,https://github.com/signalapp/Signal-Android,0,0
graal,oracle/graal,2016-01-14T17:11:35Z,13667,https://github.com/oracle/graal,32,0.018522843155363372
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,13570,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,0,0
springboot-learning-example,JeffLi1993/springboot-learning-example,2017-02-06T07:02:25Z,13547,https://github.com/JeffLi1993/springboot-learning-example,0,0
zipkin,openzipkin/zipkin,2012-06-06T18:26:16Z,13467,https://github.com/openzipkin/zipkin,60,0.01970711057773644
CircleImageView,hdodenhof/CircleImageView,2014-01-17T16:44:46Z,13441,https://github.com/hdodenhof/CircleImageView,0,0
Material-Animations,lgvalle/Material-Animations,2015-03-08T20:54:00Z,13435,https://github.com/lgvalle/Material-Animations,0,0
lottie-react-native,react-native-community/lottie-react-native,2017-01-27T18:24:50Z,13418,https://github.com/react-native-community/lottie-react-native,0,0
disruptor,LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,13027,https://github.com/LMAX-Exchange/disruptor,10,0.0034039268195297833
logger,orhanobut/logger,2015-03-20T22:30:12Z,12478,https://github.com/orhanobut/logger,16,0.007891815213593452
ARouter,alibaba/ARouter,2016-12-14T01:27:49Z,12423,https://github.com/alibaba/ARouter,15,0.010766179103163808
rocketmq,apache/rocketmq,2016-11-30T08:00:08Z,12400,https://github.com/apache/rocketmq,0,0
QMUI_Android,Tencent/QMUI_Android,2017-04-21T10:03:18Z,12245,https://github.com/Tencent/QMUI_Android,33,0.026088283840038914
greenDAO,greenrobot/greenDAO,2011-10-22T16:15:14Z,12215,https://github.com/greenrobot/greenDAO,8,0.0024445128539574736
shardingsphere,apache/shardingsphere,2016-01-18T12:49:26Z,12161,https://github.com/apache/shardingsphere,42,0.024365077941093678
Android-PickerView,Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,12149,https://github.com/Bigkoo/Android-PickerView,0,0
SpringBoot-Learning,dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,12134,https://github.com/dyc87112/SpringBoot-Learning,0,0
stetho,facebook/stetho,2015-01-22T22:34:10Z,12053,https://github.com/facebook/stetho,12,0.00575712824061337
Luban,Curzibn/Luban,2016-07-24T07:43:21Z,12035,https://github.com/Curzibn/Luban,6,0.0039061665186062005
